Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1          4304           4304        Scene 1
    2            19           4323          2
    3            19           4342          3
    4            20           4362          4
    5            20           4382          5
    6            20           4402          6
    7            20           4422          7
    8          1630           6052          8
    9            54           6106          9
   10            54           6160          10
   11            57           6217          11
   12            57           6274          12
   13            58           6332          13
   14          1372           7704          14
   15            75           7779          15
   16            75           7854          16
   17            75           7929          17
   18            77           8006          18
   19            77           8083          19
   20          1333           9416          20
   21            93           9509          21
   22            92           9601          22
   23            95           9696          23
   24            96           9792          24
   25            96           9888          25
   26          1820          11708          26
   27           109          11817          27
   28           111          11928          28
   29           113          12041          29
   30           113          12154          30
   31           110          12264          31
   32          1400          13664          32
   33           112          13776          33
   34           110          13886          34
   35           112          13998          35
   36           113          14111          36
   37          1431          15542          37
   38           122          15664          38
   39            93          15757          39
   40            94          15851          40
   41            94          15945          41
   42            95          16040          42
   43          1177          17217          43
   44           109          17326          44
   45            92          17418          45
   46            94          17512          46
   47            95          17607          47
   48            95          17702          48
   49          1375          19077          49
   50           109          19186          50
   51            91          19277          51
   52            95          19372          52
   53            96          19468          53
   54            95          19563          54
   55          1409          20972          55
   56           108          21080          56
   57            93          21173          57
   58            95          21268          58
   59            96          21364          59
   60            95          21459          60
   61          1035          22494          61
   62           108          22602          62
   63            94          22696          63
   64            95          22791          64
   65            95          22886          65
   66            95          22981          66
   67          1639          24620          67
   68           111          24731          68
   69           112          24843          69
   70           113          24956          70
   71           113          25069          71
   72           114          25183          72
   73          1430          26613          73
   74           113          26726          74
   75           114          26840          75
   76           113          26953          76
   77           114          27067          77
   78           114          27181          78
   79           110          27291          79
   80            96          27387          80
   81            97          27484          81
   82            96          27580          82
   83            97          27677          83
   84            97          27774          84
   85            93          27867          85
   86            76          27943          86
   87            78          28021          87
   88            78          28099          88
   89            80          28179          89
   90            79          28258          90
   91            74          28332          91
   92            58          28390          92
   93            59          28449          93
   94            59          28508          94
   95            60          28568          95
   96            58          28626          96
   97            51          28677          97
   98            21          28698          98
   99            21          28719          99
  100            21          28740          100
  101            21          28761          101
  102            20          28781          102
  103            17          28798          103
  104             2          28800          104
  105             2          28802          105
  106             2          28804          106
  107             2          28806          107
  108             2          28808          108
  109             2          28810          109
  110             2          28812          110
  111             2          28814          111
  112             2          28816          112
  113             2          28818          113
  114             2          28820          114
  115             2          28822          115
  116             2          28824          116
  117             2          28826          117
  118             2          28828          118
  119             2          28830          119
  120             2          28832          120
  121             2          28834          121
  122             2          28836          122
  123            56          28892          123
  124            92          28984          124
  125           115          29099          125
  126           151          29250          126
  127           177          29427          127
  128           198          29625          128
  129           262          29887          129
  130           274          30161          130
  131           272          30433          131
  132           280          30713          132
  133           272          30985          133
  134           280          31265          134
  135           282          31547          135
  136           284          31831          136
  137           272          32103          137
  138           274          32377          138
  139           279          32656          139
  140           274          32930          140
  141           272          33202          141
  142           277          33479          142
  143           268          33747          143
  144           275          34022          144
  145           281          34303          145
  146           279          34582          146
  147           266          34848          147
  148           271          35119          148
  149           274          35393          149
  150           263          35656          150
  151           265          35921          151
  152           259          36180          152
  153           202          36382          153
  154           177          36559          154
  155           158          36717          155
  156           121          36838          156
  157            89          36927          157
  158            65          36992          158
  159            17          37009          159
  160             2          37011          160
  161             2          37013          161
  162             2          37015          162
  163             2          37017          163
  164             2          37019          164
  165             2          37021          165
  166             2          37023          166
  167             2          37025          167
  168             2          37027          168
  169             2          37029          169
  170             2          37031          170
  171             2          37033          171
  172             2          37035          172
  173             2          37037          173
  174             2          37039          174
  175             2          37041          175
  176             2          37043          176
  177             2          37045          177
  178             2          37047          178
  179             2          37049          179
  180             2          37051          180
  181             2          37053          181
  182             2          37055          182
  183             2          37057          183
  184             2          37059          184
  185             2          37061          185
  186            19          37080          186
  187            20          37100          187
  188            20          37120          188
  189            20          37140          189
  190            20          37160          190
  191            21          37181          191
  192            55          37236          192
  193            57          37293          193
  194            57          37350          194
  195            56          37406          195
  196            57          37463          196
  197            58          37521          197
  198            77          37598          198
  199            77          37675          199
  200            77          37752          200
  201            77          37829          201
  202            78          37907          202
  203            76          37983          203
  204            95          38078          204
  205            96          38174          205
  206            95          38269          206
  207            96          38365          207
  208            97          38462          208
  209            95          38557          209
  210           115          38672          210
  211           113          38785          211
  212           114          38899          212
  213           114          39013          213
  214           113          39126          214
  215           105          39231          215
  216           116          39347          216
  217           113          39460          217
  218           112          39572          218
  219           111          39683          219
  220           110          39793          220
  221            98          39891          221
  222           100          39991          222
  223            92          40083          223
  224            91          40174          224
  225            91          40265          225
  226            90          40355          226
  227            82          40437          227
  228            93          40530          228
  229            89          40619          229
  230            89          40708          230
  231            88          40796          231
  232            87          40883          232
  233            83          40966          233
  234            94          41060          234
  235            90          41150          235
  236            90          41240          236
  237            91          41331          237
  238            90          41421          238
  239            83          41504          239
  240            95          41599          240
  241            90          41689          241
  242            91          41780          242
  243            91          41871          243
  244            90          41961          244
  245            83          42044          245
  246            95          42139          246
  247            92          42231          247
  248            92          42323          248
  249            92          42415          249
  250            92          42507          250
  251            89          42596          251
  252           118          42714          252
  253           115          42829          253
  254           115          42944          254
  255           114          43058          255
  256           114          43172          256
  257           107          43279          257
  258           118          43397          258
  259           117          43514          259
  260           117          43631          260
  261           115          43746          261
  262           114          43860          262
  263           105          43965          263
  264           101          44066          264
  265            97          44163          265
  266            97          44260          266
  267            95          44355          267
  268            93          44448          268
  269            86          44534          269
  270            82          44616          270
  271            79          44695          271
  272            77          44772          272
  273            77          44849          273
  274            76          44925          274
  275            68          44993          275
  276            61          45054          276
  277            57          45111          277
  278            56          45167          278
  279            57          45224          279
  280            55          45279          280
  281            41          45320          281
  282            29          45349          282
  283            20          45369          283
  284            20          45389          284
  285            19          45408          285
  286            18          45426          286
  287            12          45438          287
  288             6          45444          288
  289             2          45446          289

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Symbol 27                        42             0
Symbol 26                         0             0
Symbol 25                        42             0
Symbol 24                        61             0
Symbol 23                        41             0
Symbol 22                         0             0
Symbol 21                        41             0
Symbol 20                         0             0
Symbol 19                        42             0
Symbol 18                         0             0
Symbol 17                        41             0
Symbol 16                         0             0
Symbol 15                        42             0
Symbol 14                         0             0
Symbol 13                        41             0
Symbol 12                         0             0
Symbol 11                        42             0
Symbol 10                         0             0
Symbol 9                         42             0
Symbol 8                          0             0
Symbol 7                         41             0
Symbol 6                          0             0
Symbol 5                         42             0
Symbol 4                          0             0
Symbol 3                         42             0
Symbol 2                          0             0
Symbol 1                         48             0

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------
Bitmap 14                       1263        3696   JPEG Quality=80
Bitmap 13                       1476        4356   JPEG Quality=80
Bitmap 12                        884        1664   JPEG Quality=80
Bitmap 11                       1258        2944   JPEG Quality=80
Bitmap 10                       1223        3432   JPEG Quality=80
Bitmap 9                        1026        2944   JPEG Quality=80
Bitmap 8                        1263        3696   JPEG Quality=80
Bitmap 7                        1248        2816   JPEG Quality=80
Bitmap 6                        1667        4884   JPEG Quality=80
Bitmap 5                        1201        3328   JPEG Quality=80
Bitmap 4                        1258        2944   JPEG Quality=80
Bitmap 3                        1476        4356   JPEG Quality=80
Bitmap 2                        1245        3456   JPEG Quality=80
Bitmap 1                        2884       87584   JPEG Quality=80
